trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
806,False,"{'a': 0.2, 'e': 0.19399999999999928}",25,13,0.770185275839463,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
807,False,"{'a': 0.2, 'e': 0.19299999999999928}",30,17,13.909264994345417,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
808,False,"{'a': 0.2, 'e': 0.19199999999999928}",25,16,21.201371703612395,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
809,False,"{'a': 0.2, 'e': 0.19099999999999928}",20,2,16.042070237347367,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
810,False,"{'a': 0.2, 'e': 0.18999999999999928}",25,7,25.32667615642186,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
811,False,"{'a': 0.2, 'e': 0.18899999999999928}",20,9,6.910044966382428,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
812,False,"{'a': 0.2, 'e': 0.18799999999999928}",30,13,12.259506019194454,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
813,False,"{'a': 0.2, 'e': 0.18699999999999928}",30,12,-8.206214941659189,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
814,False,"{'a': 0.2, 'e': 0.18599999999999928}",30,7,28.359319756418888,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
815,False,"{'a': 0.2, 'e': 0.18499999999999928}",20,10,-46.46064148044184,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
816,False,"{'a': 0.2, 'e': 0.18399999999999928}",20,14,4.045346311002831,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
817,False,"{'a': 0.2, 'e': 0.18299999999999927}",25,7,20.588943578883885,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
818,False,"{'a': 0.2, 'e': 0.18199999999999927}",25,13,-2.8026737460321485,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
819,False,"{'a': 0.2, 'e': 0.18099999999999927}",20,6,15.994190837251887,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
820,False,"{'a': 0.2, 'e': 0.17999999999999927}",20,16,7.580834561130617,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
821,False,"{'a': 0.2, 'e': 0.17899999999999927}",20,8,23.376583042630205,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
822,False,"{'a': 0.2, 'e': 0.17799999999999927}",25,5,22.87013009406965,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
823,False,"{'a': 0.2, 'e': 0.17699999999999927}",20,0,-5.6104413594009515,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
824,False,"{'a': 0.2, 'e': 0.17599999999999927}",25,0,23.184438756117288,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
825,False,"{'a': 0.2, 'e': 0.17499999999999927}",25,16,-38.43577082835194,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
826,False,"{'a': 0.2, 'e': 0.17399999999999927}",25,8,29.534778736948326,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
827,False,"{'a': 0.2, 'e': 0.17299999999999927}",30,12,18.001513977723985,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
828,False,"{'a': 0.2, 'e': 0.17199999999999926}",20,4,22.960091393408522,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
829,False,"{'a': 0.2, 'e': 0.17099999999999926}",20,15,10.006984909970415,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
830,False,"{'a': 0.2, 'e': 0.16999999999999926}",20,0,24.222429513096266,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
831,False,"{'a': 0.2, 'e': 0.16899999999999926}",20,4,16.54866158667492,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
832,False,"{'a': 0.2, 'e': 0.16799999999999926}",30,18,18.092924850653258,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
833,False,"{'a': 0.2, 'e': 0.16699999999999926}",20,3,-20.648632839387613,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
834,False,"{'a': 0.2, 'e': 0.16599999999999926}",25,7,-5.217192279543683,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
835,False,"{'a': 0.2, 'e': 0.16499999999999926}",20,14,9.555790025093847,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
836,False,"{'a': 0.2, 'e': 0.16399999999999926}",30,18,7.872415505197045,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
837,False,"{'a': 0.2, 'e': 0.16299999999999926}",20,0,18.541015796908063,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
838,False,"{'a': 0.2, 'e': 0.16199999999999926}",25,19,9.413972006442098,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
839,False,"{'a': 0.2, 'e': 0.16099999999999925}",25,17,14.640123554811758,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
840,False,"{'a': 0.2, 'e': 0.15999999999999925}",20,0,10.046161560761663,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
841,False,"{'a': 0.2, 'e': 0.15899999999999925}",20,12,13.812562615033633,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
842,False,"{'a': 0.2, 'e': 0.15799999999999925}",30,21,15.916372306339126,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
843,False,"{'a': 0.2, 'e': 0.15699999999999925}",20,12,11.148271903999056,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
844,False,"{'a': 0.2, 'e': 0.15599999999999925}",25,0,-5.9277045030768685,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
845,False,"{'a': 0.2, 'e': 0.15499999999999925}",20,0,-10.991228767806597,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
846,False,"{'a': 0.2, 'e': 0.15399999999999925}",25,8,24.97878246288293,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
847,False,"{'a': 0.2, 'e': 0.15299999999999925}",20,12,7.648779296691148,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
848,False,"{'a': 0.2, 'e': 0.15199999999999925}",20,5,23.713689098808985,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
849,False,"{'a': 0.2, 'e': 0.15099999999999925}",25,16,4.115139977008383,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
850,False,"{'a': 0.2, 'e': 0.14999999999999925}",35,16,24.671417488210356,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
851,False,"{'a': 0.2, 'e': 0.14899999999999924}",30,12,13.09014050413678,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
852,False,"{'a': 0.2, 'e': 0.14799999999999924}",25,19,9.168610823752312,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
853,False,"{'a': 0.2, 'e': 0.14699999999999924}",25,17,15.67172187646732,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
854,False,"{'a': 0.2, 'e': 0.14599999999999924}",25,13,15.176663314920441,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
855,False,"{'a': 0.2, 'e': 0.14499999999999924}",25,18,12.068735840729564,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
856,False,"{'a': 0.2, 'e': 0.14399999999999924}",20,10,15.39132693451743,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
857,False,"{'a': 0.2, 'e': 0.14299999999999924}",35,22,23.762619896073478,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
858,False,"{'a': 0.2, 'e': 0.14199999999999924}",25,19,10.594802224365983,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
859,False,"{'a': 0.2, 'e': 0.14099999999999924}",20,0,18.880772183974983,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
860,False,"{'a': 0.2, 'e': 0.13999999999999924}",30,19,4.436544295312879,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
861,False,"{'a': 0.2, 'e': 0.13899999999999924}",30,16,21.03371178838866,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
862,False,"{'a': 0.2, 'e': 0.13799999999999923}",25,9,33.30192413392508,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
863,False,"{'a': 0.2, 'e': 0.13699999999999923}",20,10,17.959582423101775,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
864,False,"{'a': 0.2, 'e': 0.13599999999999923}",25,15,12.087811735914478,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
865,False,"{'a': 0.2, 'e': 0.13499999999999923}",25,3,34.40418691662716,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
866,False,"{'a': 0.2, 'e': 0.13399999999999923}",30,15,7.017561890744151,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
867,False,"{'a': 0.2, 'e': 0.13299999999999923}",20,5,26.700453474691443,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
868,False,"{'a': 0.2, 'e': 0.13199999999999923}",30,8,-34.02918473622258,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 1}",1
869,False,"{'a': 0.2, 'e': 0.13099999999999923}",20,7,22.81173373198469,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
870,False,"{'a': 0.2, 'e': 0.12999999999999923}",20,12,12.838040608329083,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
871,False,"{'a': 0.2, 'e': 0.12899999999999923}",20,12,15.304770364667762,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
872,False,"{'a': 0.2, 'e': 0.12799999999999923}",30,24,12.423236378175766,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
873,False,"{'a': 0.2, 'e': 0.12699999999999922}",30,18,-23.18791667178606,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
874,False,"{'a': 0.2, 'e': 0.12599999999999922}",30,23,15.65701292361529,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
875,False,"{'a': 0.2, 'e': 0.12499999999999922}",20,12,13.758370178275754,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
876,False,"{'a': 0.2, 'e': 0.12399999999999922}",25,20,11.50958482567374,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
877,False,"{'a': 0.2, 'e': 0.12299999999999922}",20,15,3.6829887604843723,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
878,False,"{'a': 0.2, 'e': 0.12199999999999922}",25,2,19.047541819036702,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
879,False,"{'a': 0.2, 'e': 0.12099999999999922}",20,15,10.077336246853886,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
880,False,"{'a': 0.2, 'e': 0.11999999999999922}",20,3,-46.554580582113644,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 1}",1
881,False,"{'a': 0.2, 'e': 0.11899999999999922}",20,5,4.55516317751165,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
882,False,"{'a': 0.2, 'e': 0.11799999999999922}",25,15,15.072572651113111,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
883,False,"{'a': 0.2, 'e': 0.11699999999999922}",25,15,17.014219086223218,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
884,False,"{'a': 0.2, 'e': 0.11599999999999921}",35,19,24.45542699211176,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
885,False,"{'a': 0.2, 'e': 0.11499999999999921}",20,10,19.562280686813796,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
886,False,"{'a': 0.2, 'e': 0.11399999999999921}",20,0,15.575149810208954,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
